panel,series,x,seed,estimate,lower,upper,metric
a,geospatial_kernel,2021,mean_n3,0.25947306504361495,0.2548683598148993,0.2640777702723306,strict_change_fom_mean_plus_minus_sample_sd
a,persistence,2021,mean_n3,0.0,0.0,0.0,strict_change_fom_mean_plus_minus_sample_sd
a,random_allocation,2021,mean_n3,0.052394963527672554,0.04549870663386053,0.059291220421484575,strict_change_fom_mean_plus_minus_sample_sd
a,geospatial_kernel,2022,mean_n3,0.07240625151593819,0.07043573657933398,0.07437676645254239,strict_change_fom_mean_plus_minus_sample_sd
a,persistence,2022,mean_n3,0.0,0.0,0.0,strict_change_fom_mean_plus_minus_sample_sd
a,random_allocation,2022,mean_n3,0.004842039437322372,0.0032502740194496737,0.006433804855195071,strict_change_fom_mean_plus_minus_sample_sd
a,geospatial_kernel,2023,mean_n3,0.21163837346219816,0.20741399312534844,0.21586275379904787,strict_change_fom_mean_plus_minus_sample_sd
a,persistence,2023,mean_n3,0.0,0.0,0.0,strict_change_fom_mean_plus_minus_sample_sd
a,random_allocation,2023,mean_n3,0.02001760429709765,0.01948151470346494,0.02055369389073036,strict_change_fom_mean_plus_minus_sample_sd
a,geospatial_kernel,2024,mean_n3,0.18156009106571344,0.1793865221074192,0.18373366002400768,strict_change_fom_mean_plus_minus_sample_sd
a,persistence,2024,mean_n3,0.0,0.0,0.0,strict_change_fom_mean_plus_minus_sample_sd
a,random_allocation,2024,mean_n3,0.032319407172025146,0.03106122027342888,0.033577594070621414,strict_change_fom_mean_plus_minus_sample_sd
b,kernel_minus_random_allocation,2021,31,0.1991491515677799,0.17041997556204044,0.22781498477246345,paired_spatial_block_bootstrap_strict_fom_difference
b,kernel_minus_persistence,2021,31,0.25749989773058146,0.22584989176170353,0.28842300850989633,paired_spatial_block_bootstrap_strict_fom_difference
b,kernel_minus_random_allocation,2021,47,0.20223002406278393,0.17411427526524267,0.23071289982795348,paired_spatial_block_bootstrap_strict_fom_difference
b,kernel_minus_persistence,2021,47,0.2552393359302303,0.22468911774576977,0.28514069855171803,paired_spatial_block_bootstrap_strict_fom_difference
b,kernel_minus_random_allocation,2021,73,0.2191847758214827,0.18956081309767867,0.2528932161826352,paired_spatial_block_bootstrap_strict_fom_difference
b,kernel_minus_persistence,2021,73,0.2636438997127152,0.23190452976267856,0.30011180088188844,paired_spatial_block_bootstrap_strict_fom_difference
b,kernel_minus_random_allocation,2022,31,0.06692689297929551,0.05474396525890318,0.07857393340014542,paired_spatial_block_bootstrap_strict_fom_difference
b,kernel_minus_persistence,2022,31,0.0719822382582406,0.059927066179325486,0.08400961010420108,paired_spatial_block_bootstrap_strict_fom_difference
